                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 1.0647,                 1.0657,                 1.4264,                0.67518,                0.66705,                0.71364,                0.51727,                    nan,                    nan,                    nan,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.0452,                 1.0447,                 1.4159,                0.67668,                0.66188,                0.70953,                0.51135,                    nan,                    nan,                    nan,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.0526,                 1.0553,                 1.4174,                0.69459,                0.65783,                0.72253,                0.53265,                    nan,                    nan,                    nan,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.0361,                 1.0393,                 1.4007,                0.69724,                0.65438,                0.72049,                0.52013,                    nan,                    nan,                    nan,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.0332,                 1.0452,                 1.4032,                0.68614,                0.65899,                0.70561,                0.51806,                    nan,                    nan,                    nan,               0.001208,               0.001208,               0.001208
                     42,                 1.0407,                 1.0278,                 1.4021,                0.69346,                0.66475,                0.71409,                0.52532,                    nan,                    nan,                    nan,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.0354,                 1.0315,                 1.4022,                0.69248,                0.67063,                0.71565,                0.52721,                    nan,                    nan,                    nan,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.0243,                 1.0274,                 1.3964,                0.67658,                0.64348,                0.70513,                0.51953,                    nan,                    nan,                    nan,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.0214,                 1.0294,                 1.3987,                 0.6883,                  0.678,                 0.7248,                0.53064,                    nan,                    nan,                    nan,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.0213,                 1.0213,                 1.3873,                0.68635,                 0.6682,                0.71763,                0.53435,                    nan,                    nan,                    nan,               0.001109,               0.001109,               0.001109
                     47,                 1.0083,                 1.0108,                 1.3877,                0.69884,                0.67224,                0.71754,                0.52389,                    nan,                    nan,                    nan,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.0225,                 1.0155,                 1.3853,                0.66193,                 0.6924,                0.72769,                0.54102,                    nan,                    nan,                    nan,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.0019,                 1.0034,                 1.3777,                0.66324,                0.69182,                0.72644,                0.54322,                    nan,                    nan,                    nan,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.0001,                 1.0029,                 1.3734,                0.68272,                0.66684,                0.72275,                0.53984,                    nan,                    nan,                    nan,              0.0010298,              0.0010298,              0.0010298
                     51,                 0.9963,                0.99251,                 1.3715,                0.66535,                0.68372,                0.71965,                0.52813,                    nan,                    nan,                    nan,                0.00101,                0.00101,                0.00101
                     52,                0.98547,                0.98136,                 1.3593,                0.68795,                0.67627,                0.73049,                0.54444,                    nan,                    nan,                    nan,              0.0009902,              0.0009902,              0.0009902
                     53,                0.99917,                0.98816,                 1.3725,                0.68122,                0.66717,                0.71653,                0.53675,                    nan,                    nan,                    nan,              0.0009704,              0.0009704,              0.0009704
                     54,                0.98243,                0.97823,                 1.3549,                 0.6775,                0.69412,                0.72763,                0.54507,                    nan,                    nan,                    nan,              0.0009506,              0.0009506,              0.0009506
                     55,                0.97388,                0.97521,                 1.3551,                0.69577,                 0.6521,                0.72025,                0.53542,                    nan,                    nan,                    nan,              0.0009308,              0.0009308,              0.0009308
                     56,                 0.9881,                0.97639,                 1.3578,                 0.7001,                0.67641,                0.73084,                0.54957,                    nan,                    nan,                    nan,               0.000911,               0.000911,               0.000911
                     57,                0.97668,                0.97163,                  1.351,                 0.6686,                0.69816,                0.72045,                0.54173,                    nan,                    nan,                    nan,              0.0008912,              0.0008912,              0.0008912
                     58,                0.97642,                0.96667,                 1.3561,                0.67435,                0.68894,                0.73754,                0.54717,                    nan,                    nan,                    nan,              0.0008714,              0.0008714,              0.0008714
                     59,                0.97121,                0.96165,                 1.3398,                0.69557,                0.68833,                 0.7303,                0.54356,                    nan,                    nan,                    nan,              0.0008516,              0.0008516,              0.0008516
                     60,                0.96164,                 0.9588,                 1.3416,                0.69479,                0.67664,                0.73532,                0.55408,                    nan,                    nan,                    nan,              0.0008318,              0.0008318,              0.0008318
                     61,                0.96532,                0.95148,                 1.3412,                0.69044,                0.68318,                0.73094,                0.54855,                    nan,                    nan,                    nan,               0.000812,               0.000812,               0.000812
                     62,                0.95012,                0.94759,                 1.3365,                0.69091,                0.68372,                 0.7305,                0.55179,                    nan,                    nan,                    nan,              0.0007922,              0.0007922,              0.0007922
                     63,                0.95458,                0.95088,                 1.3357,                0.71622,                0.66585,                0.73705,                0.55326,                    nan,                    nan,                    nan,              0.0007724,              0.0007724,              0.0007724
                     64,                0.94848,                0.93596,                 1.3294,                0.69323,                0.68836,                0.74266,                  0.565,                    nan,                    nan,                    nan,              0.0007526,              0.0007526,              0.0007526
                     65,                0.94855,                0.93605,                 1.3249,                0.67088,                0.69746,                0.74211,                0.55896,                    nan,                    nan,                    nan,              0.0007328,              0.0007328,              0.0007328
                     66,                0.95653,                0.93536,                 1.3275,                0.70652,                0.65732,                0.73047,                 0.5513,                    nan,                    nan,                    nan,               0.000713,               0.000713,               0.000713
                     67,                0.93304,                0.92032,                 1.3204,                0.71654,                0.67454,                0.73912,                0.56105,                    nan,                    nan,                    nan,              0.0006932,              0.0006932,              0.0006932
                     68,                0.93486,                0.92174,                  1.319,                0.68075,                0.69278,                0.74195,                0.56233,                    nan,                    nan,                    nan,              0.0006734,              0.0006734,              0.0006734
                     69,                0.92932,                0.91815,                  1.315,                0.67277,                0.70795,                0.73293,                0.55339,                    nan,                    nan,                    nan,              0.0006536,              0.0006536,              0.0006536
                     70,                0.92757,                0.91206,                 1.3156,                0.72571,                0.65726,                0.74357,                0.56119,                    nan,                    nan,                    nan,              0.0006338,              0.0006338,              0.0006338
                     71,                0.92654,                0.91883,                 1.3099,                0.70713,                 0.6829,                0.73905,                0.55699,                    nan,                    nan,                    nan,               0.000614,               0.000614,               0.000614
                     72,                0.92221,                0.90839,                  1.303,                0.71093,                0.69873,                0.74659,                0.56754,                    nan,                    nan,                    nan,              0.0005942,              0.0005942,              0.0005942
                     73,                0.92191,                0.90243,                 1.3037,                0.70716,                0.66907,                0.73301,                0.55951,                    nan,                    nan,                    nan,              0.0005744,              0.0005744,              0.0005744
                     74,                0.91429,                0.90091,                 1.3047,                0.70144,                0.67281,                0.73899,                0.55826,                    nan,                    nan,                    nan,              0.0005546,              0.0005546,              0.0005546
                     75,                0.91814,                0.90754,                 1.3077,                0.68594,                0.71256,                0.74218,                0.56354,                    nan,                    nan,                    nan,              0.0005348,              0.0005348,              0.0005348
                     76,                0.91351,                0.89815,                 1.3032,                  0.703,                0.68721,                0.74586,                0.56668,                    nan,                    nan,                    nan,               0.000515,               0.000515,               0.000515
                     77,                0.91546,                0.89899,                 1.3078,                0.69984,                0.68088,                0.73693,                0.56078,                    nan,                    nan,                    nan,              0.0004952,              0.0004952,              0.0004952
                     78,                  0.914,                0.89394,                 1.2952,                 0.6934,                0.69528,                0.74511,                 0.5675,                    nan,                    nan,                    nan,              0.0004754,              0.0004754,              0.0004754
                     79,                0.90538,                0.88923,                 1.2901,                0.68482,                0.70449,                 0.7427,                0.57012,                    nan,                    nan,                    nan,              0.0004556,              0.0004556,              0.0004556
                     80,                0.89911,                0.88291,                 1.2896,                 0.6994,                0.69297,                0.74692,                0.57023,                    nan,                    nan,                    nan,              0.0004358,              0.0004358,              0.0004358
                     81,                0.89992,                0.87377,                 1.2875,                0.67866,                0.70161,                0.73469,                0.55923,                    nan,                    nan,                    nan,               0.000416,               0.000416,               0.000416
                     82,                0.90487,                0.87837,                 1.2869,                0.67843,                0.70795,                0.74527,                0.56521,                    nan,                    nan,                    nan,              0.0003962,              0.0003962,              0.0003962
